# UI textures requiring 2x conversion to match the vendored ui/ trees
#
# Every texture the UI trees reference is listed: the engine draws a plain
# image 1:1 from the texture's top-left and never stretches it to the
# control (verified in game - 1x art renders quarter-size in its corner),
# so 2x layout needs 2x art everywhere. The reason column records what
# reads the texture: a texture-space coordinate (atlas sub-rect, 9-slice
# rect, flipbook stride, font-icon cell, IconTextureAtlases row, Lua
# SetTextureOffsetVal/SetTextureSizeVal), or drawn-1to1 for a plain ref.
# Both UI trees are swept, base and Expansion1.
#
# input_file is the thing to upscale, relative to the extraction root, and
# decoded is its MEASURED size. A .png input was a dictionary-coded pair
# (<name>.dds blocks + <name>-index.dds); a .dds input is a plain texture.
#
# USE-EXPANSION-COPY: the name is in both UI packs with different content;
# the Rising Tide copy is the one the game loads and the one listed here.
#
# pack	filename	input_file	decoded	bytes	reasons

Expansion1UITextures.fpk	artifactsresearcharrowresult123.dds	Expansion1UITextures.fpk/artifactsresearcharrowresult123.dds	88x105	37088	drawn-1to1
Expansion1UITextures.fpk	artifactsrevealframe.dds	Expansion1UITextures.fpk/artifactsrevealframe.dds	10x42	1808	9-slice
Expansion1UITextures.fpk	be_exp1_artifacts_atlas_128.dds	Expansion1UITextures_converted/be_exp1_artifacts_atlas_128.png	1536x768	1266296	database-ref,drawn-1to1,icon-atlas
Expansion1UITextures.fpk	be_exp1_artifacts_atlas_200.dds	Expansion1UITextures_converted/be_exp1_artifacts_atlas_200.png	2400x1200	2813040	database-ref,icon-atlas
Expansion1UITextures.fpk	be_exp1_artifacts_atlas_300.dds	Expansion1UITextures_converted/be_exp1_artifacts_atlas_300.png	3600x1800	5457767	database-ref,drawn-1to1,icon-atlas
Expansion1UITextures.fpk	be_exp1_artifacts_atlas_80.dds	Expansion1UITextures_converted/be_exp1_artifacts_atlas_80.png	960x480	546473	database-ref,drawn-1to1,icon-atlas,lua-runtime-offset
Expansion1UITextures.fpk	be_exp1_foreign_policies_atlas_128.dds	Expansion1UITextures_converted/be_exp1_foreign_policies_atlas_128.png	1024x1024	6630	database-ref,icon-atlas
Expansion1UITextures.fpk	be_exp1_traits_atlas_128.dds	Expansion1UITextures_converted/be_exp1_traits_atlas_128.png	1024x1024	4144	database-ref,icon-atlas
Expansion1UITextures.fpk	blackgradient_small.dds	Expansion1UITextures.fpk/blackgradient_small.dds	64x64	21972	9-slice
Expansion1UITextures.fpk	blackgradientcontainer.dds	Expansion1UITextures.fpk/blackgradientcontainer.dds	93x87	42896	9-slice
Expansion1UITextures.fpk	blackgradientsubcontainer.dds	Expansion1UITextures.fpk/blackgradientsubcontainer.dds	41x41	8972	9-slice
Expansion1UITextures.fpk	buildingatlasxp1-1.dds	Expansion1UITextures_converted/buildingatlasxp1-1.png	2048x1024	673322	database-ref,icon-atlas
Expansion1UITextures.fpk	buildingatlasxp1-1_1024.dds	Expansion1UITextures_converted/buildingatlasxp1-1_1024.png	1024x512	199319	database-ref,icon-atlas
Expansion1UITextures.fpk	buildingatlasxp1-1_360.dds	Expansion1UITextures_converted/buildingatlasxp1-1_360.png	360x180	33392	database-ref,icon-atlas
Expansion1UITextures.fpk	buildingatlasxp1-1_512.dds	Expansion1UITextures_converted/buildingatlasxp1-1_512.png	512x256	59492	database-ref,icon-atlas
Expansion1UITextures.fpk	buildingatlasxp1-1_768.dds	Expansion1UITextures_converted/buildingatlasxp1-1_768.png	768x384	125581	database-ref,icon-atlas
Expansion1UITextures.fpk	buildingatlasxp1_128.dds	Expansion1UITextures.fpk/buildingatlasxp1_128.dds	512x256	524416	database-ref,icon-atlas
Expansion1UITextures.fpk	buildingatlasxp1_96.dds	Expansion1UITextures.fpk/buildingatlasxp1_96.dds	384x192	295040	database-ref,icon-atlas
Expansion1UITextures.fpk	buttonmovecity.dds	Expansion1UITextures.fpk/buttonmovecity.dds	52x260	54208	9-slice
Expansion1UITextures.fpk	cancelbutton.dds	Expansion1UITextures.fpk/cancelbutton.dds	43x172	39188	atlas-subrect,drawn-1to1
Expansion1UITextures.fpk	card_backing.dds	Expansion1UITextures.fpk/card_backing.dds	20x175	18708	9-slice
Expansion1UITextures.fpk	civilizationbe_risingtide_logo.dds	Expansion1UITextures.fpk/civilizationbe_risingtide_logo.dds	1500x312	2457128	drawn-1to1
Expansion1UITextures.fpk	civilopediatopbuttonsartifacts.dds	Expansion1UITextures.fpk/civilopediatopbuttonsartifacts.dds	50x200	53312	drawn-1to1
Expansion1UITextures.fpk	civilopediatopbuttonsdiplomacy.dds	Expansion1UITextures.fpk/civilopediatopbuttonsdiplomacy.dds	50x200	53312	drawn-1to1
Expansion1UITextures.fpk	civsymbolatlasxp1_128.dds	Expansion1UITextures_converted/civsymbolatlasxp1_128.png	512x512	24942	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_16.dds	Expansion1UITextures_converted/civsymbolatlasxp1_16.png	64x64	2008	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_24.dds	Expansion1UITextures_converted/civsymbolatlasxp1_24.png	96x96	3448	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_32.dds	Expansion1UITextures_converted/civsymbolatlasxp1_32.png	128x128	4911	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_45.dds	Expansion1UITextures_converted/civsymbolatlasxp1_45.png	180x180	7438	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_48.dds	Expansion1UITextures_converted/civsymbolatlasxp1_48.png	192x192	8178	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_57.dds	Expansion1UITextures_converted/civsymbolatlasxp1_57.png	228x228	9940	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_64.dds	Expansion1UITextures_converted/civsymbolatlasxp1_64.png	256x256	11541	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolatlasxp1_80.dds	Expansion1UITextures_converted/civsymbolatlasxp1_80.png	320x320	15352	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolglowxp1_48.dds	Expansion1UITextures_converted/civsymbolglowxp1_48.png	192x192	11687	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolglowxp1_64.dds	Expansion1UITextures_converted/civsymbolglowxp1_64.png	256x256	13034	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolscolorxp1_128.dds	Expansion1UITextures_converted/civsymbolscolorxp1_128.png	512x512	102212	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolscolorxp1_32.dds	Expansion1UITextures_converted/civsymbolscolorxp1_32.png	128x128	21243	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolscolorxp1_45.dds	Expansion1UITextures_converted/civsymbolscolorxp1_45.png	180x180	33671	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolscolorxp1_57.dds	Expansion1UITextures_converted/civsymbolscolorxp1_57.png	228x228	46110	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolscolorxp1_64.dds	Expansion1UITextures_converted/civsymbolscolorxp1_64.png	256x256	53646	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolscolorxp1_80.dds	Expansion1UITextures_converted/civsymbolscolorxp1_80.png	320x320	72813	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolsgradientxp1_48.dds	Expansion1UITextures_converted/civsymbolsgradientxp1_48.png	192x192	7874	database-ref,icon-atlas
Expansion1UITextures.fpk	civsymbolsgradientxp1_64.dds	Expansion1UITextures_converted/civsymbolsgradientxp1_64.png	256x256	7250	database-ref,icon-atlas
Expansion1UITextures.fpk	communiquebutton.dds	Expansion1UITextures.fpk/communiquebutton.dds	40x108	23132	atlas-subrect
Expansion1UITextures.fpk	covertops360.dds	Expansion1UITextures_converted/covertops360.png	360x180	39713	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	dip_grid_chat.dds	Expansion1UITextures.fpk/dip_grid_chat.dds	128x64	43816	9-slice
Expansion1UITextures.fpk	dip_grid_line_hi.dds	Expansion1UITextures.fpk/dip_grid_line_hi.dds	64x64	21972	9-slice
Expansion1UITextures.fpk	dip_grid_linesq_hi.dds	Expansion1UITextures.fpk/dip_grid_linesq_hi.dds	64x64	21972	9-slice
Expansion1UITextures.fpk	dip_grid_textbox.dds	Expansion1UITextures.fpk/dip_grid_textbox.dds	32x64	11048	9-slice
Expansion1UITextures.fpk	dip_grid_trait1.dds	Expansion1UITextures.fpk/dip_grid_trait1.dds	64x64	21972	9-slice
Expansion1UITextures.fpk	dip_grid_trait2.dds	Expansion1UITextures.fpk/dip_grid_trait2.dds	64x64	21972	9-slice
Expansion1UITextures.fpk	dip_grid_trait3.dds	Expansion1UITextures.fpk/dip_grid_trait3.dds	64x64	21972	9-slice
Expansion1UITextures.fpk	dip_grid_trait4.dds	Expansion1UITextures.fpk/dip_grid_trait4.dds	64x64	21972	9-slice
Expansion1UITextures.fpk	dip_header.dds	Expansion1UITextures.fpk/dip_header.dds	500x32	84128	9-slice
Expansion1UITextures.fpk	dip_leaderbox.dds	Expansion1UITextures_converted/dip_leaderbox.png	100x300	2862	drawn-1to1
Expansion1UITextures.fpk	dip_leaderbox_hi.dds	Expansion1UITextures_converted/dip_leaderbox_hi.png	100x300	2876	drawn-1to1
Expansion1UITextures.fpk	dip_leaderbox_traitbutton.dds	Expansion1UITextures.fpk/dip_leaderbox_traitbutton.dds	100x400	210128	9-slice
Expansion1UITextures.fpk	dip_traitadd.dds	Expansion1UITextures.fpk/dip_traitadd.dds	64x256	87504	9-slice
Expansion1UITextures.fpk	diplo_choicearea.dds	Expansion1UITextures.fpk/diplo_choicearea.dds	41x41	8972	9-slice
Expansion1UITextures.fpk	diplo_choicebutton.dds	Expansion1UITextures.fpk/diplo_choicebutton.dds	30x150	23944	9-slice
Expansion1UITextures.fpk	diplo_choiceglow.dds	Expansion1UITextures.fpk/diplo_choiceglow.dds	416x215	476120	drawn-1to1
Expansion1UITextures.fpk	diplo_fearmeter.dds	Expansion1UITextures.fpk/diplo_fearmeter.dds	21x33	3744	atlas-subrect
Expansion1UITextures.fpk	diplo_relationshipindicators.dds	Expansion1UITextures.fpk/diplo_relationshipindicators.dds	30x150	23944	drawn-1to1,lua-runtime-offset
Expansion1UITextures.fpk	diplo_respectmeter.dds	Expansion1UITextures.fpk/diplo_respectmeter.dds	21x33	3744	atlas-subrect
Expansion1UITextures.fpk	diplo_wordbubble.dds	Expansion1UITextures.fpk/diplo_wordbubble.dds	70x69	25704	9-slice
Expansion1UITextures.fpk	diplomacy_slot.dds	Expansion1UITextures.fpk/diplomacy_slot.dds	24x24	3192	9-slice
Expansion1UITextures.fpk	diplomacy_window.dds	Expansion1UITextures.fpk/diplomacy_window.dds	21x192	21336	9-slice
Expansion1UITextures.fpk	diplowarspoils_n_defeat_888x125.dds	Expansion1UITextures.fpk/diplowarspoils_n_defeat_888x125.dds	888x125	590384	drawn-1to1
Expansion1UITextures.fpk	dom_city_1920x1080.dds	Expansion1UITextures.fpk/dom_city_1920x1080.dds	1920x1080	11016128	drawn-1to1
Expansion1UITextures.fpk	dom_eyeoftheorbiter_1920x1080.dds	Expansion1UITextures.fpk/dom_eyeoftheorbiter_1920x1080.dds	1920x1080	11016128	drawn-1to1
Expansion1UITextures.fpk	dom_kraken_1920x1080.dds	Expansion1UITextures.fpk/dom_kraken_1920x1080.dds	1920x1080	11016128	drawn-1to1
Expansion1UITextures.fpk	dom_rig_floatstone.dds	Expansion1UITextures.fpk/dom_rig_floatstone.dds	1920x1080	11016128	drawn-1to1
Expansion1UITextures.fpk	dom_siegeworm_1920x1080.dds	Expansion1UITextures.fpk/dom_siegeworm_1920x1080.dds	1920x1080	11016128	drawn-1to1
Expansion1UITextures.fpk	dom_xenotitan_attack_1920x1080.dds	Expansion1UITextures.fpk/dom_xenotitan_attack_1920x1080.dds	1920x1080	11016128	drawn-1to1
Expansion1UITextures.fpk	dropshadow.dds	Expansion1UITextures.fpk/dropshadow.dds	200x200	213388	9-slice
Expansion1UITextures.fpk	fearrespectrequirements.dds	Expansion1UITextures.fpk/fearrespectrequirements.dds	68x268	97208	drawn-1to1,lua-runtime-offset
Expansion1UITextures.fpk	fonticonsxp1.dds	Expansion1UITextures_converted/fonticonsxp1.png	256x256	35018	font-icon-cell
Expansion1UITextures.fpk	header_backbutton.dds	Expansion1UITextures.fpk/header_backbutton.dds	43x172	39188	atlas-subrect,drawn-1to1
Expansion1UITextures.fpk	header_breadcrumbs.dds	Expansion1UITextures.fpk/header_breadcrumbs.dds	33x112	19688	9-slice
Expansion1UITextures.fpk	header_firstbreadcrumb.dds	Expansion1UITextures.fpk/header_firstbreadcrumb.dds	33x112	19688	9-slice
Expansion1UITextures.fpk	hudicon_artifacts.dds	Expansion1UITextures_converted/hudicon_artifacts.png	55x55	3656	drawn-1to1
Expansion1UITextures.fpk	leaderportraitsxp1_128.dds	Expansion1UITextures_converted/leaderportraitsxp1_128.png	512x128	90116	database-ref,icon-atlas
Expansion1UITextures.fpk	leaderportraitsxp1_256.dds	Expansion1UITextures_converted/leaderportraitsxp1_256.png	1024x256	292507	database-ref,icon-atlas
Expansion1UITextures.fpk	leaderportraitsxp1_64.dds	Expansion1UITextures_converted/leaderportraitsxp1_64.png	256x64	33671	database-ref,icon-atlas
Expansion1UITextures.fpk	leaderportraitsxp1_80.dds	Expansion1UITextures_converted/leaderportraitsxp1_80.png	320x80	47613	database-ref,icon-atlas
Expansion1UITextures.fpk	managetraits_costcontainer.dds	Expansion1UITextures.fpk/managetraits_costcontainer.dds	58x40	12456	9-slice
Expansion1UITextures.fpk	managetraits_domestic.dds	Expansion1UITextures.fpk/managetraits_domestic.dds	400x261	556236	database-ref
Expansion1UITextures.fpk	managetraits_military.dds	Expansion1UITextures.fpk/managetraits_military.dds	400x261	556236	database-ref
Expansion1UITextures.fpk	managetraits_political.dds	Expansion1UITextures.fpk/managetraits_political.dds	400x261	556236	database-ref
Expansion1UITextures.fpk	managetraits_selectheader.dds	Expansion1UITextures.fpk/managetraits_selectheader.dds	96x32	16512	drawn-1to1,lua-runtime-offset
Expansion1UITextures.fpk	managetraits_traitcontainer.dds	Expansion1UITextures.fpk/managetraits_traitcontainer.dds	69x144	52876	9-slice
Expansion1UITextures.fpk	managetraits_upgrade.dds	Expansion1UITextures.fpk/managetraits_upgrade.dds	198x90	94900	drawn-1to1,lua-runtime-offset
Expansion1UITextures.fpk	managetraits_upgradebutton.dds	Expansion1UITextures.fpk/managetraits_upgradebutton.dds	61x244	79028	9-slice
Expansion1UITextures.fpk	marvel_arrow.dds	Expansion1UITextures_converted/marvel_arrow.png	90x38	1240	drawn-1to1
Expansion1UITextures.fpk	movecity36.dds	Expansion1UITextures.fpk/movecity36.dds	36x36	5312	drawn-1to1
Expansion1UITextures.fpk	notifications.dds	Expansion1UITextures_converted/notifications.png	512x512	298444	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	notifications_turnblocking.dds	Expansion1UITextures_converted/notifications_turnblocking.png	1024x256	96569	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	perkatlas128.dds	Expansion1UITextures_converted/perkatlas128.png	1024x1024	413583	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	perkatlas32.dds	Expansion1UITextures_converted/perkatlas32.png	256x256	80365	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	perkatlas45.dds	Expansion1UITextures_converted/perkatlas45.png	360x360	81868	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	perkatlas56.dds	Expansion1UITextures_converted/perkatlas56.png	448x448	119161	database-ref,drawn-1to1,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	perkatlas64.dds	Expansion1UITextures_converted/perkatlas64.png	512x512	277779	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	planetarywonder_portraits_exp1_128.dds	Expansion1UITextures_converted/planetarywonder_portraits_exp1_128.png	384x128	68785	database-ref,icon-atlas
Expansion1UITextures.fpk	playerribbon_backing.dds	Expansion1UITextures.fpk/playerribbon_backing.dds	68x68	24744	drawn-1to1
Expansion1UITextures.fpk	playerribbon_playerhighlight.dds	Expansion1UITextures.fpk/playerribbon_playerhighlight.dds	105x78	43568	drawn-1to1
Expansion1UITextures.fpk	playerribbon_relationshipindicators.dds	Expansion1UITextures.fpk/playerribbon_relationshipindicators.dds	88x375	175828	atlas-subrect,drawn-1to1,lua-runtime-offset
Expansion1UITextures.fpk	playerribbon_showrelationshipsbracket.dds	Expansion1UITextures.fpk/playerribbon_showrelationshipsbracket.dds	46x80	19660	9-slice
Expansion1UITextures.fpk	playerribbon_talk.dds	Expansion1UITextures.fpk/playerribbon_talk.dds	33x32	5716	drawn-1to1
Expansion1UITextures.fpk	projectatlas1024.dds	Expansion1UITextures_converted/projectatlas1024.png	1024x128	104095	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	projectatlas360.dds	Expansion1UITextures_converted/projectatlas360.png	360x45	23827	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	projectatlas512.dds	Expansion1UITextures_converted/projectatlas512.png	512x64	40614	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	questlogmissiontypebanners.dds	Expansion1UITextures_converted/questlogmissiontypebanners.png	50x276	22157	atlas-subrect USE-EXPANSION-COPY
Expansion1UITextures.fpk	relationship_arrow.dds	Expansion1UITextures.fpk/relationship_arrow.dds	45x34	8196	drawn-1to1
Expansion1UITextures.fpk	relationship_selector.dds	Expansion1UITextures.fpk/relationship_selector.dds	42x42	9468	drawn-1to1
Expansion1UITextures.fpk	resources1024.dds	Expansion1UITextures_converted/resources1024.png	1024x640	613700	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	resources2048.dds	Expansion1UITextures_converted/resources2048.png	2048x1280	1945911	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	resources360.dds	Expansion1UITextures_converted/resources360.png	360x225	103717	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	resources512.dds	Expansion1UITextures_converted/resources512.png	512x320	189893	database-ref,drawn-1to1,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	resources640.dds	Expansion1UITextures_converted/resources640.png	640x400	273563	database-ref,icon-atlas USE-EXPANSION-COPY
Expansion1UITextures.fpk	rowleaf.dds	Expansion1UITextures.fpk/rowleaf.dds	8x52	2312	9-slice
Expansion1UITextures.fpk	rowsfull.dds	Expansion1UITextures.fpk/rowsfull.dds	8x69	3076	9-slice
Expansion1UITextures.fpk	services_32.dds	Expansion1UITextures_converted/services_32.png	256x256	79541	database-ref,icon-atlas
Expansion1UITextures.fpk	services_64.dds	Expansion1UITextures_converted/services_64.png	512x512	151299	database-ref,icon-atlas
Expansion1UITextures.fpk	services_button.dds	Expansion1UITextures.fpk/services_button.dds	67x268	95332	9-slice
Expansion1UITextures.fpk	summary_wondersbacking.dds	Expansion1UITextures.fpk/summary_wondersbacking.dds	50x50	13388	drawn-1to1
Expansion1UITextures.fpk	summarybutton.dds	Expansion1UITextures.fpk/summarybutton.dds	43x172	39188	atlas-subrect,drawn-1to1
Expansion1UITextures.fpk	summarybuttonbacking.dds	Expansion1UITextures.fpk/summarybuttonbacking.dds	50x81	21600	drawn-1to1
Expansion1UITextures.fpk	switchtrait_arrow.dds	Expansion1UITextures.fpk/switchtrait_arrow.dds	39x37	7676	drawn-1to1
Expansion1UITextures.fpk	switchtrait_selectedtrait.dds	Expansion1UITextures.fpk/switchtrait_selectedtrait.dds	32x32	5588	9-slice
Expansion1UITextures.fpk	t_arti1.dds	Expansion1UITextures.fpk/t_arti1.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_arti2.dds	Expansion1UITextures.fpk/t_arti2.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_arti3.dds	Expansion1UITextures.fpk/t_arti3.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_arti4.dds	Expansion1UITextures.fpk/t_arti4.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diplo2.dds	Expansion1UITextures.fpk/t_diplo2.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diploaffinity1.dds	Expansion1UITextures.fpk/t_diploaffinity1.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diploaffinity2.dds	Expansion1UITextures.fpk/t_diploaffinity2.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diploagree1.dds	Expansion1UITextures.fpk/t_diploagree1.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diploagree2.dds	Expansion1UITextures.fpk/t_diploagree2.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diploagree3.dds	Expansion1UITextures.fpk/t_diploagree3.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diplomanage1.dds	Expansion1UITextures.fpk/t_diplomanage1.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diplorelation1.dds	Expansion1UITextures.fpk/t_diplorelation1.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diplorelation2.dds	Expansion1UITextures.fpk/t_diplorelation2.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diplotraits1.dds	Expansion1UITextures.fpk/t_diplotraits1.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diplotraits2.dds	Expansion1UITextures.fpk/t_diplotraits2.dds	680x560	2030856	database-ref
Expansion1UITextures.fpk	t_diplowarscore1.dds	Expansion1UITextures.fpk/t_diplowarscore1.dds	680x560	1523328	database-ref
Expansion1UITextures.fpk	t_diplowarscore2.dds	Expansion1UITextures.fpk/t_diplowarscore2.dds	680x560	1523328	database-ref
Expansion1UITextures.fpk	t_diplowarscore3.dds	Expansion1UITextures.fpk/t_diplowarscore3.dds	680x560	1523328	database-ref
Expansion1UITextures.fpk	t_xpcovert1.dds	Expansion1UITextures.fpk/t_xpcovert1.dds	680x560	1523328	database-ref
Expansion1UITextures.fpk	t_xpcovert10.dds	Expansion1UITextures.fpk/t_xpcovert10.dds	680x560	1523328	database-ref
Expansion1UITextures.fpk	t_xpcovert2.dds	Expansion1UITextures.fpk/t_xpcovert2.dds	680x560	1523328	database-ref
Expansion1UITextures.fpk	t_xpcovert3.dds	Expansion1UITextures.fpk/t_xpcovert3.dds	680x560	1523328	database-ref
Expansion1UITextures.fpk	t_xpcovert6.dds	Expansion1UITextures.fpk/t_xpcovert6.dds	680x560	1523328	database-ref
